gene,p_val,avg_log2FC,pct.1 Endo,pct.2 PE,p_val_adj
IGHG4,1.18E-18,2.178096102,0.542,0.336,3.58E-14
MT-CO3,3.68E-46,0.997813211,0.963,0.846,1.12E-41
MT-ND4,6.17E-48,0.989945282,0.943,0.844,1.87E-43
MT-ATP6,3.13E-43,0.933830109,0.965,0.868,9.50E-39
MT-CYB,7.76E-43,0.88245691,0.957,0.85,2.36E-38
MT-CO2,1.91E-51,0.877057923,0.971,0.869,5.81E-47
MT-CO1,4.20E-45,0.871518141,0.966,0.854,1.28E-40
CALD1,3.25E-16,0.730327334,0.334,0.175,9.87E-12
MT-ND5,3.33E-39,0.716211166,0.895,0.757,1.01E-34
RGS1,1.60E-22,0.668335092,0.5,0.279,4.84E-18
MT-ND2,1.36E-26,0.611218202,0.913,0.801,4.12E-22
MT-ND3,4.02E-28,0.57600832,0.97,0.865,1.22E-23
EGR1,2.39E-13,0.567054594,0.412,0.262,7.27E-09
IGHG3,1.18E-09,0.529370135,0.533,0.367,3.57E-05
B2M,2.05E-23,0.525149079,0.993,0.992,6.22E-19
TIMP1,2.73E-08,0.52327656,0.416,0.286,8.29E-04
FOS,8.81E-18,0.504162281,0.705,0.539,2.67E-13
IER2,1.93E-19,0.499796664,0.437,0.24,5.87E-15
XBP1,2.97E-09,0.47116173,0.595,0.517,9.01E-05
PNRC1,2.55E-18,0.456899942,0.291,0.121,7.73E-14
FTL,2.04E-15,0.456231112,0.973,0.957,6.20E-11
JUNB,1.32E-07,0.453446156,0.587,0.479,0.004014453
DUSP1,7.86E-18,0.450312463,0.504,0.306,2.39E-13
NEAT1,2.89E-17,0.446103073,0.812,0.638,8.77E-13
TNFAIP3,2.86E-16,0.431403663,0.32,0.148,8.67E-12
CXCR4,1.09E-10,0.421589474,0.395,0.244,3.31E-06
ZFP36,5.03E-08,0.418265631,0.593,0.505,0.001527508
GADD45B,1.18E-10,0.408977688,0.32,0.191,3.58E-06
RPL7,5.03E-10,0.408236242,0.702,0.633,1.53E-05
ZFP36L1,9.35E-12,0.387186115,0.319,0.182,2.84E-07
ACTB,2.21E-10,0.385495951,0.628,0.505,6.71E-06
BTG2,1.93E-14,0.375507723,0.421,0.252,5.86E-10
TAGLN,2.88E-09,0.367116383,0.234,0.123,8.73E-05
JUND,1.53E-12,0.365197383,0.716,0.578,4.63E-08
SAT1,2.33E-12,0.360011469,0.497,0.33,7.08E-08
H3F3B,1.40E-11,0.356136291,0.752,0.653,4.23E-07
C3,1.24E-15,0.353016344,0.258,0.101,3.75E-11
C1S,2.93E-12,0.352559639,0.232,0.103,8.89E-08
NFKBIA,3.91E-15,0.346025493,0.446,0.262,1.19E-10
MALAT1,1.16E-12,0.344757257,0.932,0.829,3.51E-08
ITM2B,4.07E-09,0.344692381,0.523,0.403,1.24E-04
BTG1,1.14E-08,0.338634147,0.402,0.284,3.46E-04
MT-ND1,7.98E-14,0.335855702,0.912,0.834,2.42E-09
HNRNPU,3.33E-08,0.310830781,0.277,0.171,0.001010798
VMP1,7.24E-11,0.310615404,0.246,0.123,2.20E-06
CCNL1,1.49E-08,0.308585497,0.289,0.18,4.51E-04
BTF3,8.83E-07,0.303456474,0.466,0.377,0.026795574
SKP1,7.70E-13,0.289194499,0.298,0.15,2.34E-08
NAP1L1,1.36E-09,0.287315826,0.256,0.142,4.12E-05
LDHA,3.51E-12,0.284460421,0.287,0.146,1.07E-07
CALM2,2.89E-09,0.273692809,0.328,0.203,8.78E-05
HIST1H1C,2.02E-11,0.270491992,0.231,0.108,6.12E-07
SRSF7,7.85E-10,0.265298717,0.314,0.183,2.38E-05
LY96,5.13E-18,0.264663129,0.284,0.115,1.56E-13
EIF3E,7.26E-08,0.263618004,0.304,0.196,0.002202407
PPP1R15A,6.07E-10,0.252948385,0.371,0.231,1.84E-05
PPIB,7.62E-08,-0.253128078,0.349,0.459,0.002313325
RPL37,7.76E-09,-0.259982426,0.695,0.829,2.36E-04
RPL7A,1.04E-12,-0.284996315,0.866,0.947,3.16E-08
RPL37A,1.15E-12,-0.292465095,0.753,0.86,3.49E-08
RPL41,8.02E-10,-0.305371183,0.949,0.969,2.43E-05
S100A4,5.02E-08,-0.31007953,0.15,0.252,0.001524746
RPS10,3.57E-11,-0.325258933,0.543,0.68,1.08E-06
RPS28,1.12E-10,-0.339570784,0.862,0.917,3.39E-06
RPL19,8.40E-11,-0.340878818,0.763,0.884,2.55E-06
RPS21,6.42E-12,-0.362144371,0.503,0.656,1.95E-07
RPS29,1.54E-10,-0.390897533,0.683,0.809,4.66E-06
ITM2C,8.01E-32,-0.521448593,0.258,0.513,2.43E-27
LMNA,6.59E-09,-0.540650593,0.198,0.303,2.00E-04
RPS26,1.49E-27,-0.607441533,0.34,0.553,4.52E-23
IGHA1,1.81E-09,-1.214252101,0.281,0.385,5.49E-05
