p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.9216689665113815,1,0.981,0,0,MT-CYB
0,0.904450434446844,1,0.983,0,0,MT-ND4
0,0.8053003560470735,0.997,0.929,0,0,MT-ND5
0,0.7922575514155721,1,0.986,0,0,MT-ATP6
0,0.773377776633243,0.999,0.984,0,0,MT-CO3
0,0.7210210983249419,0.999,0.973,0,0,MT-ND2
0,0.698278284874533,0.999,0.985,0,0,MT-CO2
0,0.6836859831950801,0.754,0.465,0,0,IL7R
0,0.6658817624354052,1,0.98,0,0,MT-ND3
0,0.5809627716228536,0.999,0.961,0,0,MT-ND1
0,0.5504203547829292,1,0.99,0,0,MT-CO1
6.1678843450700226e-204,0.29425693899378036,0.908,0.827,1.8721996141025546e-199,0,JUND
6.443284351704741e-175,0.25979440267454024,0.906,0.848,1.955794532116457e-170,0,HSP90AB1
3.225086784080834e-165,0.39241477495271715,0.503,0.4,9.789428424398963e-161,0,CNOT6L
7.871981403099067e-160,0.28891908683559064,0.793,0.701,2.389461235096691e-155,0,ZFP36L2
1.894710938941949e-108,0.3270532498839459,0.365,0.279,5.751205584064392e-104,0,AC058791.1
1.1499908867412476e-107,0.2933178879989409,0.633,0.571,3.490682337614383e-103,0,SRSF7
2.512175342852626e-97,0.35538129288137,0.507,0.463,7.625457035694861e-93,0,DYNLL1
1.0961142631673614e-90,0.32677428241784157,0.526,0.484,3.327145234418209e-86,0,FUS
3.300458275619602e-84,0.301852415134259,0.571,0.535,1.001821104981574e-79,0,DDX3X
4.542273363692518e-75,0.2760251630301884,0.582,0.566,1.3787616568152268e-70,0,XIST
1.8699799670441418e-47,0.27746204734791147,0.624,0.614,5.676137191965788e-43,0,ANXA1
0,2.387008654206991,0.983,0.672,0,1,HSPA1A
0,2.1148168025605654,0.976,0.496,0,1,HSPA1B
0,1.784781815959958,0.944,0.636,0,1,DNAJB1
0,1.5918198101466525,0.993,0.93,0,1,HSP90AA1
0,1.3790462879485204,0.861,0.523,0,1,HSPE1
0,1.3034856303223854,0.838,0.438,0,1,HSPH1
0,1.3019415423574467,0.727,0.43,0,1,HSPD1
0,1.1867624579307952,0.495,0.144,0,1,HSPA6
0,1.0842275110813935,0.975,0.952,0,1,UBC
0,1.0425820434714006,0.896,0.849,0,1,HSP90AB1
0,0.8259500750870341,0.675,0.562,0,1,DNAJA1
0,0.6943064932203249,0.58,0.29,0,1,CACYBP
0,0.6630680932835735,0.85,0.736,0,1,HSPA8
0,0.6264163090471708,0.808,0.584,0,1,CCL5
0,0.5738600247472954,0.893,0.809,0,1,UBB
0,0.5623836006102498,0.747,0.487,0,1,IL32
0,0.5354501413892939,0.497,0.247,0,1,CHORDC1
0,0.4922770178215405,0.385,0.155,0,1,ZFAND2A
0,0.4734861831340988,0.475,0.22,0,1,TCP1
0,0.46620969508456667,0.314,0.094,0,1,BAG3
0,0.4660210410027261,0.997,0.991,0,1,RPS3
0,0.452448086313551,0.352,0.143,0,1,MRPL18
0,0.4084462489296011,0.408,0.202,0,1,AHSA1
0,0.40609845161140645,0.573,0.338,0,1,TRAC
0,0.3852997836683727,1,0.993,0,1,MALAT1
0,0.3522059074701079,0.335,0.148,0,1,DEDD2
0,0.33341438119551614,0.25,0.092,0,1,DNAJA4
0,0.33292807631459465,0.606,0.387,0,1,CD3E
0,0.33159164539739816,0.997,0.993,0,1,RPL3
0,0.3269161815296691,0.475,0.27,0,1,RARRES3
0,0.32392581481811256,0.997,0.988,0,1,RPL23A
0,0.315980876683735,0.264,0.089,0,1,DNAJB4
0,0.3036452274651493,0.997,0.992,0,1,RPL19
0,0.29924752678245037,0.998,0.997,0,1,RPS14
0,0.2935423817895435,1,0.997,0,1,RPS27
6.089347854524186e-304,0.31987345544365087,0.465,0.269,1.8483606477622715e-299,1,HSPB1
2.349703446204309e-292,0.4971346667243135,0.521,0.326,7.13228984060856e-288,1,GZMK
1.223702306894417e-289,0.3362034486906741,0.437,0.259,3.714425982347314e-285,1,TAF7
5.489442182859122e-288,0.2942130534215788,0.998,0.987,1.666265280185058e-283,1,RPS29
