Cell type,Positive,Negative,,Alt.Pos.Name,Alt.Neg.Name
Monocytes,CD14,CD3E,,,
Monocytes,ADGRE1,CD3D,,EMR19F4/80),
Monocytes,HLA-DRA,CD3G,,,
Monocytes,HLA-DRB1,CD19,,,
Monocytes,ITGAM,IL3RA,,CD11b,
Monocytes,CD68,CD1C,,,
Monocytes,CSF1R,FUT4,,CD115,CD15
Monocytes,,NCAM1,,,
Monocytes,,CEACAM8,,,
Macrophages,CD68,,,,
Macrophages,FCGR1A,,,EMR19F4/80),
Macrophages,FUT4,,,CD15,
Macrophages,ITGAM,,,CD11b,
M1,CD86,,,,
M1,IFNGR1,,,,
M1,IFMGR2,,,,
M1,IL12A,,,,
M1,CXCL9,,,,
M1,CXCL10,,,,
M1,FCGR3A,,,,
M1,CCR2,,,,
M2,CD163,,,,
M2,MRC1,,,,
M2,IL4R,,,,
M2,CCL17,,,,
M2,CCL22,,,,
M2,CCL24,,,,
M2,ARG1,,,,
M2,CXCR1,,,,
M2,IL10RA,,,,
M2,IL10RB,,,,
DC,ITGAX,CD14,,CD11c,
DC,HLA-DRA,,,,
DC,HLA-DRB1,,,,
DC,CD1C,,,,
DC,CD209,,,,
DC,CD83,,,,
DC,THBD,,,,
DC,CLEC9A,,,,
DC,SIRPA,,,,
Mast,TPSAB1,,,,
Mast,KIT,,,,
Mast,ENPP3,,,,
Basophils,IL3RA,KIT,,CD123,CD117
Basophils,ENPP3,,,CD203C,
Basophils,FCER1A,,,,
Basophils,FUT4,,,,
Basophils,IL5RA,,,,
Basophils,ITGB7,,,,
Basophils,,,,,
Basophils,CCR3,,,CD193,
Eosinophils,ITGAM,FCGR3A,,,
Eosinophils,CCR3,,,CD193,
Eosinophils,ADGRE1,,,,
Eosinophils,,,,,
Eosinophils,CEACAM8,,,CD66b,
Eosinophils,FUT4,,,,
Eosinophils,SIGLEC8,,,,
B-cells,CD19,,,,
B-cells,MS4A1,,,,
B-cells,PAX8,,,,
B-cells,JCHAIN,,,,
Tcells,CD3E,,,,
Tcells,CD3D,,,,
Tcells,CD3G,,,,
NK,NCAM1,,,,
Fibroblast,ACTA2,,,,
Fibroblast,COL11A1,,,,
Fibroblast,COL1A1,,,,
Fibroblast,FAP,,,,
Epithelial,EPCAM,,,,
Epithelial,KRT8,,,,
Epithelial,KRT18,,,,
Epithelial,KRT19,,,,
Epithelial,KRT10,,,,
Epithelial,KRT7,,,,
Immune,PTPRC,,,,
