Function,Receptors
Activating,KIR2DS2
Activating,KIR2DS1
Activating,KIR2DL4
Activating,KIR2DS4
Activating,KIR2DS5
Activating,KIR3DS1
Activating,KLRD1
Activating,KLRC2
Activating,NCR3
Activating,NCR2
Activating,NCR1
Activating,NKG2D
Activating,TYROBP
Inhibiting,KIR2DL1
Inhibiting,KIR2DL2
Inhibiting,KIR2DL5
Inhibiting,KIR3DL1
Inhibiting,KIR3DL2
Inhibiting,KLRC1
Inhibiting,PDCD1
Inhibiting,KIR3DL1
,NCAM1
,GZMB
,PRF1
,IFNG
,TNF
,CCR7
,CXCR3
,CXCR1
,CXCR2
,CX3CR1
,CXCR4
,CCR5
