source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
T/NK cells,B/Plasma cells,TGFB1,TGFbR1_R2,1.4913257929489746e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
B/Plasma cells,Endothelial cells,TGFB1,TGFbR1_R2,4.765808844128623e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Endothelial cells,TGFB1,TGFbR1_R2,9.574443185838898e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
EnEpi cells,Endothelial cells,TGFB1,TGFbR1_R2,2.941166070335953e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
EnS cells,Endothelial cells,TGFB1,TGFbR1_R2,7.360886905122143e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Epithelial cells,Endothelial cells,TGFB1,TGFbR1_R2,6.238006380139324e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Erythrocytes,Endothelial cells,TGFB1,TGFbR1_R2,4.418505993369178e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mast cells,Endothelial cells,TGFB1,TGFbR1_R2,1.8690993856069433e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mesenchymal cells,Endothelial cells,TGFB1,TGFbR1_R2,7.941965680299695e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Myeloid cells,Endothelial cells,TGFB1,TGFbR1_R2,6.615657121171465e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Smooth muscle cells,Endothelial cells,TGFB1,TGFbR1_R2,5.645123129940288e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,Endothelial cells,TGFB1,TGFbR1_R2,0.0010497546531436502,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,EnS cells,TGFB1,TGFbR1_R2,1.6483176491338683e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,EnS cells,TGFB1,TGFbR1_R2,1.8075110712012586e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Epithelial cells,TGFB1,TGFbR1_R2,1.616193868744444e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
